# Ahmed Car Model, slant - angle = 25 degree
# Profiles on plane x=500mm
# Origin of coordinate system:
#      x=0: end of the car, y=0: symmetry plane, z=0: ground plane
#
#  S.Becker/H. Lienhart/C.Stoots
#  Insitute of Fluid Mechanics
#  University Erlangen-Nuremberg
#  Erlangen, Germany
#
#  x[mm]       y[mm]      z[mm]      U[m/s]     V[m/s]     W[m/s]    urms[m/s]  vrms[m/s]  wrms[m/s]  uv[m2/s2]  uw[m2/s2]  uuu[m3/s3] vvv[m3/s3] www[m3/s3] uuv[m3/s3] uuw[m3/s3] uvv[m3/s3] uww[m3/s3]
   500.000   -300.000    538.000     40.000      1.320     -0.809      0.353      0.351      0.243     -0.007     -0.004     -0.028     -0.012     -0.005     -0.009     -0.002     -0.005     -0.001
   500.000   -280.000     28.000     26.800     -2.910      1.260      3.900      3.886      2.850      2.845     -3.390    -16.000    -20.210      6.520     -7.666      6.140     -8.411     -6.380
   500.000   -280.000     38.000     28.300     -1.930      1.660      3.820      3.875      2.810      2.715     -3.180     -9.330    -21.770      6.050     -5.631      4.440     -6.916     -3.570
   500.000   -280.000     58.000     31.300     -0.290      2.250      3.710      3.503      2.750      3.018     -3.340    -12.400    -19.911      6.020     -5.578      4.070    -10.108     -4.660
   500.000   -280.000     78.000     34.700      0.570      2.630      3.430      2.938      2.490      2.454     -3.020    -23.900    -16.819      7.820     -8.300      7.150    -10.262     -7.300
   500.000   -280.000     98.000     37.500      0.990      2.870      2.690      2.188      2.090      1.341     -2.070    -23.800    -10.376      7.600     -6.306      8.390     -6.916     -7.770
   500.000   -280.000    118.000     39.100      1.580      2.880      1.770      1.616      1.600      0.536     -0.785     -8.690     -7.347      4.840     -2.915      3.860     -2.429     -3.370
   500.000   -280.000    138.000     39.600      2.100      2.710      1.160      1.190      1.160      0.112     -0.189     -1.230     -5.278      1.620     -1.232      0.765     -0.251     -0.706
   500.000   -280.000    158.000     39.700      2.370      2.420      0.872      0.954      0.844      0.088     -0.022      0.200     -3.212      1.220     -0.889      0.302     -0.613     -0.059
   500.000   -280.000    178.000     39.700      2.560      2.180      0.713      0.842      0.652      0.034     -0.004      0.190     -2.834      0.435     -0.520      0.083     -0.154      0.018
   500.000   -280.000    198.000     39.700      2.640      1.960      0.612      0.672      0.522      0.007     -0.010      0.048     -0.843      0.197     -0.133      0.034     -0.009     -0.028
   500.000   -280.000    218.000     39.700      2.640      1.830      0.544      0.558      0.447      0.002     -0.002      0.086     -0.227      0.125     -0.089      0.030     -0.039      0.021
   500.000   -280.000    238.000     39.700      2.750      1.570      0.477      0.503      0.388     -0.018     -0.003     -0.010     -0.091      0.032     -0.039      0.009     -0.001      0.003
   500.000   -280.000    258.000     39.700      3.030      1.280      0.442      0.475      0.342     -0.024      0.001     -0.017     -0.044      0.012     -0.017      0.004      0.002      0.001
   500.000   -280.000    278.000     39.600      3.190      0.851      0.422      0.428      0.327     -0.020      0.002     -0.021     -0.031      0.002     -0.008      0.000     -0.001     -0.001
   500.000   -280.000    298.000     39.700      3.340      0.435      0.401      0.407      0.303     -0.012     -0.008     -0.024     -0.026     -0.003     -0.014      0.000     -0.002     -0.001
   500.000   -280.000    318.000     39.700      3.180      0.174      0.382      0.383      0.295     -0.010     -0.004     -0.024     -0.023     -0.005     -0.012     -0.002     -0.002     -0.002
   500.000   -280.000    338.000     39.700      2.920     -0.045      0.375      0.391      0.282     -0.010     -0.005     -0.025     -0.027     -0.006     -0.011     -0.001     -0.001     -0.002
   500.000   -280.000    358.000     39.700      2.640     -0.270      0.370      0.404      0.274     -0.015     -0.008     -0.015     -0.034     -0.005     -0.012     -0.001     -0.001     -0.001
   500.000   -280.000    378.000     39.700      2.610     -0.435      0.369      0.389      0.266     -0.012     -0.006     -0.025     -0.029     -0.007     -0.013     -0.003     -0.001     -0.003
